dataset,cover_model,attempted_bits_per_transition,max_auc,max_auc_detector
geolife_cells,backoff,0.0011,0.5001,forest
geolife_cells,gru,0.3159,0.5018,forest
geolife_cells,temporal_graph_encoder,0.2968,0.5802,forest
geolife_cells,transformer,0.3363,0.5026,forest
lastfm,backoff,0.0711,0.5076,forest
lastfm,gru,0.0003,0.5001,linear
lastfm,temporal_graph_encoder,0.0,0.5,mlp
lastfm,transformer,0.0004,0.5003,linear
mooc,backoff,0.0343,0.5052,forest
mooc,gru,0.861,0.9874,forest
mooc,temporal_graph_encoder,0.0,0.5,forest
mooc,transformer,0.5543,0.8643,forest
t_drive_cells,backoff,0.2471,0.5365,forest
t_drive_cells,gru,0.0276,0.5046,forest
t_drive_cells,temporal_graph_encoder,0.0002,0.5002,forest
t_drive_cells,transformer,0.0142,0.5018,linear
tgbl-wiki,backoff,0.2105,0.5418,forest
tgbl-wiki,gru,0.0498,0.5057,linear
tgbl-wiki,temporal_graph_encoder,0.0,0.5,forest
tgbl-wiki,transformer,0.0328,0.5051,forest
